Evaluation/Iteration,Evaluation/TerminationRate,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/KL,Evaluation/MinReturn,Evaluation/StdReturn,Evaluation/AverageDiscountedReturn,Evaluation/MaxReturn,GaussianMLPPolicy/LossBefore,GaussianMLPValueFunction/dLoss,TotalEnvSteps,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/KLBefore,GaussianMLPValueFunction/LossAfter,GaussianMLPValueFunction/LossBefore,Evaluation/NumEpisodes,Evaluation/AverageReturn
10,0.0,1.5775054693222046,0.008982300758361816,0.0065478067845106125,-63.866748269992655,0.039181124813552515,-6.077022150377169,-63.78838602036555,1.5864877700805664,3.6950600147247314,21076,1.1542538404464722,0.0,1.847597360610962,5.542657375335693,2,-63.8275671451791
11,1.0,-5.724325656890869,0.0495295524597168,0.0036950784269720316,58.09796532227617,1.5440912555541075,-5.895835599056214,61.18614783338438,-5.674796104431152,56.780975341796875,22147,1.1563093662261963,0.0,121.9422607421875,178.72323608398438,2,59.642056577830274
12,1.0,-2.8368773460388184,0.1762244701385498,0.008198020048439503,44.475073709537384,10.156487767863673,-5.434795138185506,69.15959608990745,-2.6606528759002686,25.390869140625,23905,1.1540944576263428,0.0,89.01571655273438,114.40658569335938,3,57.71175359015752
13,1.0,0.01979665458202362,0.24554075300693512,0.011643599718809128,36.05369877180404,8.030123523888747,-6.47072879541148,52.11394581958153,0.26533740758895874,8.547630310058594,25382,1.171863317489624,0.0,68.74285125732422,77.29048156738281,2,44.083822295692784
14,1.0,-1.6856809854507446,0.01393270492553711,0.01386766042560339,60.20545487858735,1.037971528995179,-6.5774619594520605,62.281397936577704,-1.6717482805252075,8.969757080078125,26512,1.1489886045455933,0.0,75.84545135498047,84.8152084350586,2,61.243426407582525
15,0.5,2.3494832515716553,0.009917020797729492,0.0069503155536949635,-56.95432739129298,66.39292673137541,-4.305573291239245,75.83152607145786,2.3594002723693848,6.717548370361328,27921,1.153518795967102,0.0,36.10435104370117,42.8218994140625,2,9.43859934008244
16,0.5,1.4884246587753296,0.009258389472961426,0.0023123021237552166,-63.03602702594053,56.99092076049879,-5.38830352458243,50.94581449505705,1.497683048248291,3.515928268432617,29737,1.1464675664901733,0.0,28.34827423095703,31.86420249938965,2,-6.0451062654417385
17,0.0,0.45498377084732056,0.11782288551330566,0.007697013672441244,-67.64161569023203,49.65534450955271,-6.149188979492044,31.669073328873395,0.5728066563606262,1.7297515869140625,31735,1.1496092081069946,0.0,24.169342041015625,25.899093627929688,2,-17.986271180679317
18,0.5,-0.5746410489082336,0.0662413239479065,0.007788673974573612,-60.844782693676756,61.3378225746645,-5.683071765467036,61.83086245565225,-0.5083997249603271,1.8174381256103516,33345,1.1464215517044067,0.0,27.628551483154297,29.44598960876465,2,0.4930398809877481
19,0.5,-0.40213868021965027,0.006927192211151123,0.0043557933531701565,-56.44878962882381,62.29040572611336,-5.524226952513176,68.13202182340291,-0.39521148800849915,1.7430706024169922,34841,1.1450068950653076,0.0,27.36321258544922,29.10628318786621,2,5.841616097289549
