GaussianMLPPolicy/KLBefore,Evaluation/TerminationRate,TotalEnvSteps,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/LossAfter,Evaluation/StdReturn,Evaluation/MinReturn,GaussianMLPValueFunction/LossAfter,Evaluation/AverageDiscountedReturn,GaussianMLPValueFunction/LossBefore,Evaluation/Iteration,Evaluation/NumEpisodes,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/KL,Evaluation/AverageReturn,Evaluation/MaxReturn,GaussianMLPValueFunction/dLoss
0.0,0.0,1998,0.010406970977783203,1.395139455795288,3.4033725261688232,4.894981572741983,-113.53956288341362,12.954788208007812,-10.856131272517661,49.66618347167969,0,2,3.4137794971466064,0.009607690386474133,-108.64458131067164,-103.74959973792966,36.711395263671875
0.0,0.0,3996,0.01060187816619873,1.3727694749832153,1.29548180103302,0.8567654488898739,-102.52494885556172,3.4668116569519043,-11.871733917904631,8.95755386352539,1,2,1.3060836791992188,0.0054984670132398605,-101.66818340667184,-100.81141795778197,5.490742206573486
0.0,0.0,5994,0.005500569939613342,1.3643754720687866,-0.12059981375932693,1.2872986399358908,-91.24480703582408,2.591921329498291,-8.495061631009467,2.6622557640075684,2,2,-0.11509924381971359,0.005279141943901777,-89.9575083958882,-88.6702097559523,0.07033443450927734
0.0,0.0,7992,0.009710937738418579,1.306199073791504,0.14375056326389313,5.956378153863632,-99.5232103815203,2.6585323810577393,-10.127827372944143,2.7394766807556152,3,2,0.1534615010023117,0.006352291442453861,-93.56683222765668,-87.61045407379304,0.08094429969787598
0.0,0.0,9990,0.0073622167110443115,1.289886713027954,-0.1656014770269394,1.0151691855591807,-84.70445003289869,2.679183006286621,-8.050895227244292,3.1028101444244385,4,2,-0.15823926031589508,0.006268844939768314,-83.68928084733952,-82.67411166178033,0.4236271381378174
0.0,0.0,11988,0.01605885848402977,1.2490431070327759,-0.05734344199299812,2.0874915418907634,-87.31809258359094,2.920914888381958,-9.265178215806436,3.0485970973968506,5,2,-0.04128458350896835,0.005686455871909857,-85.23060104170017,-83.14310949980941,0.12768220901489258
0.0,0.0,13986,0.0029487311840057373,1.2303314208984375,-0.4112021028995514,3.300930160298428,-75.2185060103502,2.082717180252075,-6.988049843424044,2.672391414642334,6,2,-0.40825337171554565,0.006163490004837513,-71.91757585005178,-68.61664568975334,0.5896742343902588
0.0,0.0,15984,0.011407587677240372,1.1495455503463745,-0.05263134837150574,0.029476393633771636,-70.71723575171731,2.0848371982574463,-6.1834070799925875,2.1238644123077393,7,2,-0.041223760694265366,0.007714756764471531,-70.68775935808354,-70.65828296444977,0.03902721405029297
0.0,0.0,17982,0.007472127676010132,1.1212079524993896,-0.29992786049842834,1.7443767930837524,-64.7138816490009,1.6670572757720947,-6.804421397901102,1.9663479328155518,8,2,-0.2924557328224182,0.005486531648784876,-62.969504855917144,-61.22512806283339,0.29929065704345703
0.0,0.0,19980,0.007876254618167877,1.0621670484542847,-0.099496990442276,5.118035953853479,-63.588079604529725,1.8821353912353516,-5.591621732883159,1.9366722106933594,9,2,-0.09162073582410812,0.005930508486926556,-58.470043650676246,-53.35200769682277,0.05453681945800781
0.0,0.0,21978,0.006718188524246216,1.0519014596939087,-0.1600506603717804,0.4194223190942914,-54.25041893933554,1.6409013271331787,-5.186494225294778,1.7171458005905151,10,2,-0.15333247184753418,0.006673899013549089,-53.83099662024125,-53.411574301146956,0.07624447345733643
0.0,0.0,23976,0.003891497850418091,1.0287017822265625,-0.1490371823310852,0.16918628054684248,-49.21569501929088,1.5082072019577026,-5.281232636861992,1.5885083675384521,11,2,-0.14514568448066711,0.004747010301798582,-49.04650873874404,-48.87732245819719,0.08030116558074951
0.0,0.0,25974,0.0034305062144994736,0.9917933344841003,-0.022178295999765396,0.6909882532602509,-47.65491617847727,1.4454344511032104,-4.971561059308747,1.4870857000350952,12,2,-0.018747789785265923,0.008520128205418587,-46.96392792521702,-46.27293967195677,0.041651248931884766
0.0,0.0,27972,0.0007181018590927124,0.9795249700546265,-0.07439964264631271,0.6788115401964845,-45.10311910048421,1.366819977760315,-4.310976498411372,1.3920001983642578,13,2,-0.07368154078722,0.0061891814693808556,-44.42430756028772,-43.74549602009124,0.02518022060394287
0.0,0.0,29970,0.002078000456094742,0.9631824493408203,-0.04701745882630348,0.07377156415682151,-42.66873899868677,1.3483784198760986,-4.375015113280673,1.3633819818496704,14,2,-0.04493945837020874,0.0033507479820400476,-42.59496743452995,-42.52119587037313,0.015003561973571777
0.0,0.0,31968,0.00032088905572891235,0.9460362195968628,-0.02568615972995758,0.44106197373171696,-42.11133021034343,1.4007487297058105,-4.692269429459566,1.4089758396148682,15,2,-0.025365270674228668,0.0011777275940403342,-41.67026823661172,-41.22920626288,0.008227109909057617
0.0,0.0,33966,0.0014480948448181152,0.9075812697410583,-0.04105548560619354,1.4239878177074239,-40.79034399867218,1.307525873184204,-3.709908854117044,1.319674015045166,16,2,-0.03960739076137543,0.009456400759518147,-39.36635618096476,-37.94236836325733,0.012148141860961914
0.0,0.0,35964,0.0011752545833587646,0.8918007612228394,-0.03493529185652733,0.20646417386713622,-38.57241432887095,1.321771502494812,-4.012275897706093,1.3337026834487915,17,2,-0.033760037273168564,0.005215450655668974,-38.365950155003816,-38.159485981136676,0.011931180953979492
0.0,0.0,37962,0.006834492087364197,0.8177996873855591,0.16352421045303345,0.15009200986635207,-43.48445690348558,1.3046659231185913,-4.410024934555432,1.3968734741210938,18,2,0.17035870254039764,0.008456531912088394,-43.334364893619224,-43.184272883752875,0.09220755100250244
0.0,0.0,39960,0.00020825862884521484,0.7994821071624756,-0.2314835637807846,1.5217118138447532,-37.6431057511742,1.239445447921753,-3.8552306941046264,1.4512455463409424,19,2,-0.2312753051519394,0.005924943834543228,-36.121393937329444,-34.59968212348469,0.21180009841918945
0.0,0.0,41958,0.001003015786409378,0.7868214249610901,0.05126037076115608,0.05476510679064717,-37.15477735316436,1.169377088546753,-3.588379231727017,1.1947067975997925,20,2,0.05226338654756546,0.005880406592041254,-37.100012246373716,-37.04524713958307,0.02532970905303955
0.0,0.0,43956,0.004236258566379547,0.7327271699905396,-0.05528326332569122,0.4998801151254071,-35.941748165659234,1.1799335479736328,-3.484630186438952,1.20554780960083,21,2,-0.051047004759311676,0.00914707500487566,-35.44186805053383,-34.94198793540842,0.025614261627197266
0.0,0.0,45954,0.030579686164855957,0.7075052857398987,1.119516372680664,34.740779372504825,-103.28830575473751,11.04818058013916,-3.128633004205699,22.55341339111328,22,2,1.15009605884552,0.007888992317020893,-68.54752638223269,-33.80674700972786,11.505232810974121
0.0,0.0,47952,0.01422572135925293,0.696687638759613,-1.0062854290008545,11.818852618043383,-52.34481613066246,2.637639045715332,-3.2463731623729277,5.225274085998535,23,2,-0.9920597076416016,0.005862806923687458,-40.52596351261907,-28.707110894575692,2.587635040283203
0.0,0.0,49950,0.012998372316360474,0.6949030756950378,0.4014851152896881,1.3544409796987438,-54.61750008000288,2.771984100341797,-2.861833351640925,3.359736680984497,24,2,0.4144834876060486,0.0065550352446734905,-53.26305910030413,-51.90861812060539,0.5877525806427002
0.0,0.0,51948,0.010974198579788208,0.6500841379165649,-0.3533141613006592,2.561267412584474,-46.497957763411165,1.9621793031692505,-2.379211986415837,2.2071340084075928,25,2,-0.34233996272087097,0.007890903390944004,-43.936690350826694,-41.37542293824222,0.24495470523834229
0.0,0.0,53946,0.007339775562286377,0.5747683644294739,-0.7008065581321716,0.8090764760368199,-24.939211466052715,1.2643184661865234,-2.067035026891726,2.416552782058716,26,2,-0.6934667825698853,0.009486434981226921,-24.130134990015897,-23.321058513979075,1.1522343158721924
0.0,0.0,55944,0.0006683915853500366,0.526023805141449,-0.12112690508365631,0.09846620451375365,-20.72589139834264,1.210052490234375,-2.1336063471724005,1.2582731246948242,27,2,-0.12045851349830627,0.007223894353955984,-20.627425193828884,-20.528958989315132,0.04822063446044922
0.0,0.0,57942,0.0047874897718429565,0.4779301881790161,0.16651295125484467,6.198370015965175,-32.06909764283485,1.4096250534057617,-2.1188259014971966,1.5098721981048584,28,2,0.17130044102668762,0.007734682876616716,-25.870727626869673,-19.6723576109045,0.10024714469909668
0.0,0.0,59940,0.004963323473930359,0.4296207129955292,-0.17669063806533813,0.4796704795663782,-21.205828539153803,1.186479091644287,-1.721979031562121,1.2734229564666748,29,2,-0.17172731459140778,0.008576137013733387,-20.726158059587426,-20.246487580021046,0.0869438648223877
0.0,0.0,61938,0.0013075396418571472,0.4102494716644287,-0.11724787205457687,1.243708431064384,-18.6897283894551,1.1533093452453613,-1.7616619217544236,1.2070388793945312,30,2,-0.11594033241271973,0.004558872897177935,-17.446019958390718,-16.202311527326334,0.05372953414916992
0.0,0.0,63936,3.5874545574188232e-06,0.4039907157421112,-0.049022380262613297,0.33396754589528843,-16.016517777307747,1.1211098432540894,-1.5425621414637933,1.148667812347412,31,2,-0.04901879280805588,0.0002591960073914379,-15.68255023141246,-15.34858268551717,0.027557969093322754
0.0,0.0,65934,2.5119632482528687e-05,0.3914841413497925,0.04296581447124481,0.11439236273097642,-17.02879732502223,1.1020234823226929,-1.5322635917151546,1.1305139064788818,32,2,0.04299093410372734,0.0013008065288886428,-16.91440496229125,-16.800012599560276,0.028490424156188965
0.0,0.0,67932,0.001860298216342926,0.34806159138679504,0.09090892225503922,3.698718096455959,-23.61602740789491,1.1694663763046265,-1.657047635947082,1.2174659967422485,33,2,0.09276922047138214,0.008001072332262993,-19.917309311438952,-16.218591214982993,0.04799962043762207
0.0,0.0,69930,0.0011179745197296143,0.3279038071632385,-0.13849341869354248,0.4556577571453708,-16.29533094887721,1.0599216222763062,-1.5570180003020462,1.147728681564331,34,2,-0.13737544417381287,0.0060851117596030235,-15.83967319173184,-15.38401543458647,0.0878070592880249
0.0,0.0,71928,0.0023727398365736008,0.28728392720222473,0.000530123885255307,0.3198941948927576,-16.30742534435199,1.0228570699691772,-1.395724095070216,1.0574809312820435,35,2,0.0029028637800365686,0.009180920198559761,-15.987531149459233,-15.667636954566476,0.03462386131286621
0.0,0.0,73926,0.002100929617881775,0.27123555541038513,-0.11277531087398529,0.2059014982823948,-12.847662533411428,0.961763322353363,-1.2739025159670658,1.04720139503479,36,2,-0.11067438125610352,0.007371958810836077,-12.641761035129033,-12.435859536846639,0.085438072681427
0.0,0.0,75924,0.0013013090938329697,0.23353458940982819,-0.028906697407364845,0.13186535779763453,-12.024530700111034,0.907333493232727,-1.2712406023637517,0.9563813805580139,37,2,-0.027605388313531876,0.005427981726825237,-11.8926653423134,-11.760799984515765,0.049047887325286865
0.0,0.0,77922,0.0007845330983400345,0.2197374701499939,-0.01729034259915352,0.32464842209373224,-11.746523061850358,0.8555125594139099,-1.122741631608299,0.9067057371139526,38,2,-0.016505809500813484,0.0056330678053200245,-11.421874639756625,-11.097226217662893,0.051193177700042725
0.0,0.0,79920,0.00010383874177932739,0.20484612882137299,-0.05529985576868057,0.1206992351219629,-9.804029055344854,0.7986145615577698,-0.8903130005719652,0.8676230311393738,39,2,-0.055196017026901245,0.002654331037774682,-9.683329820222891,-9.562630585100928,0.069008469581604
0.0,0.0,81918,0.0019786253105849028,0.14953768253326416,0.0006371528725139797,0.5738248856467054,-10.31160017553896,0.7474157214164734,-0.9335728952919484,0.803112804889679,40,2,0.0026157782413065434,0.009112389758229256,-9.737775289892255,-9.163950404245549,0.055697083473205566
0.0,0.0,83916,0.0012178868055343628,0.08590161800384521,-0.033365409821271896,0.13151314251627433,-8.871869778307817,0.6597049832344055,-0.811483693730082,0.7306793928146362,41,2,-0.032147523015737534,0.0067924559116363525,-8.740356635791542,-8.608843493275268,0.07097440958023071
0.0,0.0,85914,0.0003937855362892151,0.07627581804990768,-0.042508020997047424,0.16647493677977376,-7.696116772783517,0.5890445709228516,-0.7545234650835637,0.6697897911071777,42,2,-0.04211423546075821,0.009336208924651146,-7.529641836003743,-7.36316689922397,0.08074522018432617
0.0,0.0,87912,0.00086170993745327,0.022489188238978386,-0.014314994215965271,0.2118526714983151,-7.28908969626319,0.5188325643539429,-0.6502633209619569,0.5888838768005371,43,2,-0.013453284278512001,0.005892555695027113,-7.077237024764875,-6.86538435326656,0.07005131244659424
0.0,0.0,89910,0.0013298410922288895,-0.049497731029987335,-0.0164471585303545,0.043259571118638096,-6.4299541413463634,0.44927194714546204,-0.5898717856949551,0.520919919013977,44,2,-0.01511731743812561,0.008159404620528221,-6.386694570227725,-6.343434999109087,0.07164797186851501
0.0,0.0,91908,0.0012653563171625137,-0.08720386028289795,-0.03229023516178131,0.260491222600129,-5.763043709998541,0.3684327006340027,-0.51967850044338,0.4514424204826355,45,2,-0.031024878844618797,0.00695351418107748,-5.502552487398413,-5.242061264798283,0.08300971984863281
0.0,0.0,93906,0.000407462939620018,-0.12202214449644089,-0.02280900813639164,0.14285644520325125,-5.105270862655366,0.28895390033721924,-0.47370085607208856,0.3693546950817108,46,2,-0.02240154519677162,0.008405748754739761,-4.9624144174521145,-4.819557972248863,0.08040079474449158
0.0,0.0,95904,0.00029497803188860416,-0.13323748111724854,-0.0037232849281281233,0.1608837822250373,-5.0364975595826715,0.2148311883211136,-0.4574252623005296,0.2893308699131012,47,2,-0.003428306896239519,0.006145212799310684,-4.875613777357634,-4.714729995132597,0.07449968159198761
0.0,0.0,97902,8.25151801109314e-07,-0.13477468490600586,-0.018016114830970764,0.1431696391180477,-4.573572958853035,0.12551820278167725,-0.4157948455312143,0.20806968212127686,48,2,-0.018015289679169655,0.00010746407497208565,-4.430403319734987,-4.287233680616939,0.08255147933959961
0.0,0.0,99900,0.00026615039678290486,-0.1404547542333603,-0.0008804561803117394,0.4338649039060405,-4.9489547616023275,0.06255745887756348,-0.43255066304320605,0.13660937547683716,49,2,-0.0006143057835288346,0.009790200740098953,-4.515089857696287,-4.0812249537902465,0.07405191659927368
0.0,0.0,101898,7.916742470115423e-05,-0.16895191371440887,0.0014856270281597972,0.0709847404907844,-4.567681166369415,-0.009451152756810188,-0.42075990842951727,0.06296869367361069,50,2,0.0015647944528609514,0.009600333869457245,-4.49669642587863,-4.425711685387846,0.07241984643042088
0.0,0.0,103896,0.00044253282248973846,-0.19543787837028503,0.027070630341768265,0.1882794352087407,-5.5793457141883325,-0.07621707767248154,-0.4805418727694499,0.016365500167012215,51,2,0.027513163164258003,0.0047754100523889065,-5.391066278979592,-5.202786843770851,0.09258257783949375
0.0,0.0,105894,0.0,-0.19543787837028503,-0.04818969592452049,0.2297843565840656,-4.247108000299357,-0.16877439618110657,-0.38038002357977496,-0.0201907679438591,52,2,-0.04818969592452049,0.0,-4.017323643715291,-3.7875392871312257,0.14858362823724747
0.0,0.0,107892,7.954053580760956e-05,-0.21083591878414154,0.009249876253306866,0.17510255693986077,-4.439752984547098,-0.24456776678562164,-0.4324852550082369,-0.16688987612724304,53,2,0.009329416789114475,0.00997804943472147,-4.264650427607238,-4.089547870667377,0.0776778906583786
0.0,0.0,109890,1.0303221642971039e-05,-0.21297861635684967,-0.014652182348072529,0.10770451832383832,-4.001748653652075,-0.324099063873291,-0.36311932310666356,-0.24014092981815338,54,2,-0.014641879126429558,0.0005972668877802789,-3.8940441353282367,-3.786339617004398,0.08395813405513763
0.0,0.0,111888,0.0,-0.21297861635684967,0.006687828805297613,0.10366145068210253,-4.258835763490787,-0.3886050581932068,-0.37180193106722614,-0.3156778812408447,55,2,0.006687828805297613,0.0,-4.155174312808684,-4.051512862126582,0.07292717695236206
0.0,0.0,113886,5.6587159633636475e-06,-0.22568842768669128,0.021049970760941505,0.14345073298600175,-4.783744807650777,-0.4453194737434387,-0.46201113757592815,-0.35160061717033386,56,2,0.02105562947690487,0.002170092426240444,-4.640294074664775,-4.496843341678773,0.09371885657310486
0.0,0.0,115884,0.0003015473484992981,-0.2507796287536621,-0.009314436465501785,0.5120568764515785,-4.990631227625144,-0.45953992009162903,-0.42258047869561755,-0.4023902416229248,57,2,-0.009012889117002487,0.008995226584374905,-4.478574351173566,-3.966517474721987,0.057149678468704224
0.0,0.0,117882,8.568167686462402e-07,-0.25468069314956665,-0.01480835024267435,0.045026131530263136,-4.301418616936968,-0.5460740327835083,-0.40706562090024545,-0.47026652097702026,58,2,-0.014807493425905704,7.15564310667105e-05,-4.256392485406705,-4.211366353876442,0.07580751180648804
0.0,0.0,119880,0.0005638385191559792,-0.3085731863975525,0.004493847489356995,0.27815655735333955,-4.469428358570343,-0.6205196976661682,-0.4107372924007927,-0.5588677525520325,59,2,0.005057686008512974,0.009107199497520924,-4.191271801217003,-3.913115243863664,0.06165194511413574
0.0,0.0,121878,0.0003414996899664402,-0.32786503434181213,-0.005698127672076225,0.15629400271070026,-4.167907958709421,-0.7053825259208679,-0.4058640589439171,-0.6345697045326233,60,2,-0.005356627982109785,0.005862845107913017,-4.011613955998721,-3.8553199532880202,0.07081282138824463
