TotalEnvSteps,Evaluation/StdReturn,Evaluation/NumEpisodes,Evaluation/TerminationRate,Evaluation/Iteration,Evaluation/MaxReturn,Evaluation/MinReturn,Evaluation/AverageDiscountedReturn,Evaluation/AverageReturn
123802,1.361785320819795,2,0.0,61,-56.79585145906493,-59.51942210070452,-6.157299307678116,-58.157636779884726
125800,0.8481070641927957,2,0.0,62,-56.7604094580267,-58.45662358641229,-6.141463325613675,-57.608516522219496
127798,3.248817940066594,2,0.0,63,-50.98395895816227,-57.48159483829546,-4.989868075018171,-54.23277689822886
129796,0.5966027269656422,2,0.0,64,-57.38643029764172,-58.57963575157301,-5.82882546876576,-57.983033024607366
131794,2.405573971587625,2,0.0,65,-54.30692428471463,-59.11807222788988,-5.7402857309719035,-56.712498256302254
133792,1.5429636221268055,2,0.0,66,-52.57751837144873,-55.663445615702344,-5.185003152026846,-54.12048199357554
135790,3.041799675671747,2,0.0,67,-53.66887458042843,-59.752473931771924,-5.520706995771528,-56.71067425610018
137788,2.1307462201471026,2,0.0,68,-49.060340213490456,-53.32183265378466,-4.896874116712705,-51.19108643363756
139786,1.8084303991822885,2,0.0,69,-46.248190403082766,-49.86505120144734,-4.705394292644115,-48.05662080226506
141784,1.9016314231961111,2,0.0,70,-42.95188388590399,-46.75514673229621,-4.159920378317693,-44.8535153091001
143782,2.644834999262656,2,0.0,71,-43.43839334231366,-48.72806334083897,-4.857378470996592,-46.083228341576316
145780,4.344353164608027,2,0.0,72,-40.53367630410509,-49.222382633321146,-4.281864813132678,-44.87802946871312
147778,2.3194289107817596,2,0.0,73,-40.13113191707253,-44.76998973863605,-3.7952758758790823,-42.45056082785429
149776,2.1651887818861866,2,0.0,74,-38.28693636623662,-42.61731393000899,-3.437534350729279,-40.4521251481228
151774,0.02922190065181951,2,0.0,75,-39.504205449881965,-39.562649251185604,-3.942787573474673,-39.533427350533785
153772,0.6276568183910314,2,0.0,76,-37.028157309622856,-38.28347094640492,-3.9695373794645556,-37.65581412801389
155770,0.08398505924817812,2,0.0,77,-37.62918481386588,-37.79715493236224,-3.4737161205334277,-37.71316987311406
157768,0.5017326456487723,2,0.0,78,-36.063635626746816,-37.06710091804436,-3.859820943598198,-36.56536827239559
159766,0.6113201649619775,2,0.0,79,-34.093104094905875,-35.31574442482983,-3.5233054731335662,-34.70442425986785
161764,0.13217126098803433,2,0.0,80,-32.50054139213548,-32.76488391411155,-3.2866338652482807,-32.63271265312352
163762,0.7798283071908436,2,0.0,81,-30.223136361343176,-31.782792975724863,-2.947656379280748,-31.00296466853402
165760,0.5903684591415583,2,0.0,82,-29.942906143724812,-31.12364306200793,-2.6624128689753226,-30.53327460286637
167758,0.8384092240401451,2,0.0,83,-26.2968084170322,-27.97362686511249,-2.6403066590338007,-27.135217641072344
169756,0.26829459249155896,2,0.0,84,-24.927700407847887,-25.464289592831005,-2.5250797820416646,-25.195995000339444
171754,0.1032470736610982,2,0.0,85,-23.89303344221282,-24.099527589535015,-2.4728713966172142,-23.996280515873917
173752,0.07805517665417483,2,0.0,86,-21.769475124986958,-21.925585478295307,-2.1361079166355363,-21.847530301641132
175750,0.47165364165369716,2,0.0,87,-20.763097272887133,-21.706404556194528,-1.9450407576480284,-21.234750914540832
177748,0.03403646269568661,2,0.0,88,-20.93730086176907,-21.005373787160444,-2.118174228966253,-20.971337324464756
179746,0.5227020465878205,2,0.0,89,-20.41245130960595,-21.45785540278159,-2.017567980537161,-20.93515335619377
181744,0.8179539545735608,2,0.0,90,-17.23511831748961,-18.871026226636733,-1.7156955430925156,-18.053072272063172
183742,0.1121707904785918,2,0.0,91,-17.67910736156005,-17.903448942517233,-1.734340256634124,-17.791278152038643
185740,1.0425840049249482,2,0.0,92,-15.809822926451124,-17.89499093630102,-1.781795912509851,-16.852406931376073
187738,0.9899677719713829,2,0.0,93,-15.748198042918261,-17.728133586861027,-1.7374338425328013,-16.738165814889644
189736,0.18288809222387403,2,0.0,94,-14.83648687754778,-15.202263061995527,-1.4721954384210054,-15.019374969771654
191734,0.40789484646588203,2,0.0,95,-14.03593291622941,-14.851722609161174,-1.3657587291934332,-14.443827762695292
193732,0.03515376159081107,2,0.0,96,-13.759516908348054,-13.829824431529676,-1.2687389115423566,-13.794670669938865
195730,0.05440125980525856,2,0.0,97,-12.470117156058626,-12.578919675669143,-1.3211476343650776,-12.524518415863884
197728,0.02155796435936619,2,0.0,98,-13.225725268162645,-13.268841196881377,-1.4418146009478467,-13.247283232522012
199726,0.10249926417211874,2,0.0,99,-12.20494627002651,-12.409944798370747,-1.2357023724809304,-12.307445534198628
201724,0.2541108392625011,2,0.0,100,-11.44780974078883,-11.956031419313833,-1.1586006632676873,-11.701920580051333
203722,0.01918130133178053,2,0.0,101,-10.888531306733194,-10.926893909396755,-1.1121428970201934,-10.907712608064974
205720,0.3071992098148,2,0.0,102,-10.664257497447563,-11.278655917077163,-1.1639983604953952,-10.971456707262362
207718,0.08711924627917433,2,0.0,103,-10.48665778810356,-10.660896280661909,-1.088241340565073,-10.573777034382735
209716,0.35335786186643237,2,0.0,104,-9.856329750538839,-10.563045474271703,-0.9740425693051111,-10.209687612405272
211714,0.23870425158060282,2,0.0,105,-10.285271431444057,-10.762679934605263,-1.1035763133378016,-10.52397568302466
213712,0.6756158203525704,2,0.0,106,-9.250205715925896,-10.601437356631036,-1.0374647793167875,-9.925821536278466
215710,0.5902819051377923,2,0.0,107,-9.163278339555976,-10.343842149831561,-0.8713681907159018,-9.75356024469377
217708,0.23310561118278628,2,0.0,108,-7.79860913246033,-8.264820354825902,-0.8296299103751656,-8.031714743643116
219706,0.012727013696430589,2,0.0,109,-8.481833049908497,-8.507287077301358,-0.7718623215034799,-8.494560063604927
221704,0.13466788770818994,2,0.0,110,-8.006386253350138,-8.275722028766518,-0.8578150916178212,-8.141054141058328
223702,0.03064139722187953,2,0.0,111,-7.1765987317230335,-7.237881526166793,-0.6821007243019168,-7.207240128944913
225700,0.09040284298870116,2,0.0,112,-7.216426415247902,-7.397232101225304,-0.7674322088925244,-7.306829258236603
227698,0.13106225656885284,2,0.0,113,-6.857156732031964,-7.119281245169669,-0.6595467082436934,-6.988218988600817
229696,0.5030289157030712,2,0.0,114,-6.266195279178155,-7.272253110584297,-0.7127181394452936,-6.769224194881226
231694,0.25936606543221563,2,0.0,115,-5.8941517073190415,-6.412883838183473,-0.5617028135083817,-6.1535177727512576
233692,0.34665542321462084,2,0.0,116,-5.435993778886429,-6.129304625315671,-0.6136714967129249,-5.78264920210105
235690,0.18830938407660636,2,0.0,117,-5.279623328738104,-5.656242096891317,-0.5373806075784912,-5.467932712814711
237688,0.17894376493785646,2,0.0,118,-5.256478793646901,-5.6143663235226136,-0.5403158828657824,-5.435422558584757
239686,0.145008782756181,2,0.0,119,-4.857337467139878,-5.14735503265224,-0.4674740870111556,-5.002346249896059
241684,0.11579264236402897,2,0.0,120,-4.5768219936313415,-4.808407278359399,-0.5220305494296859,-4.692614635995371
243682,0.13939269537839705,2,0.0,121,-4.25536272634845,-4.534148117105244,-0.43419687260497464,-4.394755421726847
245680,0.3028239043853014,2,0.0,122,-3.6750868789154287,-4.2807346876860315,-0.3924133113578942,-3.97791078330073
247678,0.0488172353754166,2,0.0,123,-3.8257327868880235,-3.9233672576388567,-0.3791335183718372,-3.87455002226344
249676,0.098399244782992,2,0.0,124,-3.63280348071087,-3.829601970276854,-0.3687032520414724,-3.731202725493862
251674,0.31819026712067133,2,0.0,125,-3.237300828289445,-3.8736813625307875,-0.3648237304101445,-3.555491095410116
253672,0.0832375490274524,2,0.0,126,-3.2258928077534255,-3.3923679058083303,-0.3225383322845006,-3.309130356780878
255670,0.08853399608542878,2,0.0,127,-3.165668267195785,-3.3427362593666428,-0.35341659884292853,-3.254202263281214
257668,0.06808149852693934,2,0.0,128,-3.1350116601167226,-3.2711746571706013,-0.33476248660696095,-3.2030931586436617
259666,0.04453627737057819,2,0.0,129,-3.113994715260864,-3.20306727000202,-0.30970920151593406,-3.1585309926314418
261664,0.008879698436217387,2,0.0,130,-3.2935953121099057,-3.3113547089823405,-0.39537562507534346,-3.3024750105461234
263662,0.0160782295580586,2,0.0,131,-3.5186487973401923,-3.5508052564563095,-0.3765746401037449,-3.534727026898251
265660,0.08516398377377832,2,0.0,132,-3.6485168398701737,-3.8188448074177304,-0.41059326134202584,-3.733680823643952
267658,0.005055238685650831,2,0.0,133,-4.181354675269313,-4.191465152640615,-0.427573874619861,-4.186409913954964
269656,0.007938763337313137,2,0.0,134,-4.328282410423368,-4.344159937097994,-0.43983980990072513,-4.336221173760681
271654,0.0360363103690684,2,0.0,135,-4.339588936090872,-4.411661556829009,-0.43564136065789727,-4.375625246459941
273652,0.38743227108347345,2,0.0,136,-4.336135743138925,-5.111000285305872,-0.46218358777643853,-4.723568014222399
275650,0.04676857456456718,2,0.0,137,-4.8976265084026736,-4.991163657531808,-0.4549078823961793,-4.94439508296724
277648,0.07808057296243653,2,0.0,138,-5.373781551387662,-5.529942697312535,-0.6152322524610875,-5.451862124350098
279646,0.10245462369489644,2,0.0,139,-5.675288593350485,-5.880197840740278,-0.5567986551351476,-5.777743217045382
281644,0.23766221027597467,2,0.0,140,-5.827793098627033,-6.303117519178983,-0.6422926771810726,-6.065455308903008
283642,0.27643332430994816,2,0.0,141,-6.050011350558888,-6.6028779991787845,-0.5516120199814649,-6.326444674868837
285640,0.026083172146639466,2,0.0,142,-6.384079734182521,-6.4362460784758,-0.604301653598349,-6.410162906329161
287638,0.1678741109416455,2,0.0,143,-6.5386263085216685,-6.8743745304049595,-0.6446795439693886,-6.706500419463314
289636,0.07245189187140566,2,0.0,144,-6.899734146215214,-7.044637929958025,-0.738801117937552,-6.972186038086619
291634,0.03529230152978835,2,0.0,145,-6.962321810184248,-7.032906413243825,-0.6978295493372424,-6.997614111714036
293632,0.11018061650918964,2,0.0,146,-7.493490625433242,-7.713851858451621,-0.809088363779264,-7.603671241942431
295630,0.43196235254978976,2,0.0,147,-7.872939241607449,-8.736863946707029,-0.7643601561948961,-8.30490159415724
297628,0.14809334806750574,2,0.0,148,-7.942380392465067,-8.238567088600078,-0.8674965411299733,-8.090473740532573
299626,0.7182314689761702,2,0.0,149,-7.460775965104803,-8.897238903057143,-0.7657810347848992,-8.179007434080972
301624,0.03950535537908806,2,0.0,150,-7.98588133924776,-8.064892050005936,-0.8523913400662355,-8.025386694626848
303622,0.04966809246603976,2,0.0,151,-7.836472146284786,-7.935808331216865,-0.842480328419746,-7.8861402387508255
305620,0.07248073661319854,2,0.0,152,-7.5341346642424245,-7.679096137468822,-0.7395720934208796,-7.606615400855623
307618,0.03122002323941464,2,0.0,153,-7.407181000981654,-7.469621047460484,-0.7879849674093642,-7.4384010242210685
309616,0.22416908415980608,2,0.0,154,-6.617717627729287,-7.066055796048899,-0.6471010080910242,-6.841886711889093
311614,0.09257852340372308,2,0.0,155,-6.50804510994358,-6.693202156751026,-0.6324063440794222,-6.600623633347302
313612,0.08127025753970107,2,0.0,156,-5.755793940483891,-5.9183344555632935,-0.5578724039090006,-5.837064198023592
315610,0.3018499864885804,2,0.0,157,-5.274061303050837,-5.877761276027998,-0.534510207152251,-5.575911289539418
317608,0.19785353290472196,2,0.0,158,-5.576355544979196,-5.97206261078864,-0.6265535470423431,-5.774209077883919
319606,0.0566432131292971,2,0.0,159,-5.409332497845434,-5.522618924104028,-0.6096073034864549,-5.465975710974732
321604,0.033073242419423554,2,0.0,160,-5.577831264489441,-5.643977749328288,-0.6113638310975109,-5.610904506908865
323602,0.11805690435971394,2,0.0,161,-5.279492153252854,-5.515605961972282,-0.5374243249753402,-5.397549057612569
325600,0.14854053666809852,2,0.0,162,-5.18090901883341,-5.477990092169607,-0.5198658913787693,-5.329449555501508
327598,0.0030360186065965244,2,0.0,163,-5.286083410591183,-5.292155447804376,-0.49476637494636844,-5.289119429197779
329596,0.22668015386100349,2,0.0,164,-4.874898061744596,-5.328258369466603,-0.49488941487365934,-5.101578215605599
331594,0.223650661794776,2,0.0,165,-4.892168180336032,-5.339469503925584,-0.49093665660211255,-5.115818842130809
333592,0.358347709162973,2,0.0,166,-5.321916987270454,-6.0386124055964,-0.46866894595772834,-5.680264696433427
335590,0.009651502910622778,2,0.0,167,-4.60346922347944,-4.622772229300685,-0.4963297252771694,-4.613120726390063
337588,0.14477303828726118,2,0.0,168,-4.542253417467593,-4.831799494042115,-0.4432996552913723,-4.687026455754854
339586,0.021918371082068955,2,0.0,169,-4.567976475493468,-4.611813217657606,-0.4680808011352387,-4.589894846575538
341584,0.07179056529863947,2,0.0,170,-4.051472718253319,-4.1950538488505975,-0.4160879820610671,-4.1232632835519585
343582,0.0019161299662058262,2,0.0,171,-3.7328645365339153,-3.736696796466327,-0.35892090582792735,-3.734780666500121
345580,0.22459860043268054,2,0.0,172,-3.601346839097633,-4.050544039962994,-0.37154397958189844,-3.8259454395303134
347578,0.07792920176876206,2,0.0,173,-3.494368599604697,-3.6502270031422213,-0.3694239305609125,-3.572297801373459
349576,0.02140437497847847,2,0.0,174,-3.4843080286752413,-3.527116778632198,-0.33929878761768495,-3.5057124036537197
351574,0.009879341648003415,2,0.0,175,-3.538681330701653,-3.55844001399766,-0.3142560730569471,-3.5485606723496566
353572,0.15324897237609103,2,0.0,176,-3.217091748580146,-3.523589693332328,-0.3088276708471389,-3.3703407209562366
355570,0.16444424361500087,2,0.0,177,-2.8685033275656795,-3.1973918147956812,-0.2881474753352131,-3.0329475711806806
357568,0.28821040548129173,2,0.0,178,-3.1306226357539284,-3.707043446716512,-0.3129313956624777,-3.41883304123522
359566,0.09363803396553294,2,0.0,179,-3.219566419471199,-3.406842487402265,-0.36424718858440575,-3.313204453436732
361564,0.04531260669445025,2,0.0,180,-3.272446008535486,-3.3630712219243866,-0.32882031233339276,-3.3177586152299363
363562,0.03496129939428161,2,0.0,181,-3.3339713027169973,-3.4038939015055605,-0.36767240036631654,-3.368932602111279
365560,0.025552552240357684,2,0.0,182,-3.4481917260157644,-3.4992968304964798,-0.3054071827799417,-3.473744278256122
367558,0.11419503986868951,2,0.0,183,-3.776254379975891,-4.00464445971327,-0.3417625384048403,-3.8904494198445807
369556,0.1648581295320244,2,0.0,184,-3.270502413799415,-3.600218672863464,-0.295499733775376,-3.4353605433314396
371554,0.16609547876709674,2,0.0,185,-3.773185776485328,-4.105376734019521,-0.3852849455084624,-3.939281255252425
373552,0.023216946329179367,2,0.0,186,-3.946776088002553,-3.993209980660912,-0.44347353741114404,-3.9699930343317327
375550,0.15232376124132152,2,0.0,187,-3.766093686609522,-4.070741209092165,-0.40339113410506694,-3.9184174478508433
377548,0.05856242850394944,2,0.0,188,-3.854866743716973,-3.9719916007248717,-0.37463179547368586,-3.9134291722209222
379546,0.03188196654470765,2,0.0,189,-3.701104029829604,-3.7648679629190194,-0.39891037257867235,-3.7329859963743117
381544,0.021207403862955054,2,0.0,190,-3.3444296689863924,-3.3868444767123025,-0.32962389955370247,-3.3656370728493474
383542,0.15654475736147266,2,0.0,191,-3.282083732030259,-3.5951732467532045,-0.3223872135898764,-3.438628489391732
385540,0.07682716841663972,2,0.0,192,-2.829097720098783,-2.9827520569320622,-0.2853732023068547,-2.9059248885154227
387538,0.31496648753566836,2,0.0,193,-2.7081862395826994,-3.338119214654036,-0.313367655949776,-3.023152727118368
389536,0.17307410181753569,2,0.0,194,-3.2295057823609685,-3.57565398599604,-0.37455111833466226,-3.402579884178504
391534,0.17805285167721063,2,0.0,195,-2.805002642057446,-3.161108345411867,-0.32551660580955943,-2.9830554937346565
393532,0.14627620110414474,2,0.0,196,-2.45286132278195,-2.7454137249902395,-0.24159812561321425,-2.5991375238860948
395530,0.19070904113747855,2,0.0,197,-2.305086186371806,-2.6865042686467633,-0.22469449773482175,-2.4957952275092845
397528,0.2726700903327872,2,0.0,198,-2.3487323619405203,-2.8940725426060947,-0.22039542481674107,-2.6214024522733075
399526,0.09234678297440113,2,0.0,199,-2.302311650918417,-2.487005216867219,-0.2849895246886849,-2.3946584338928183
401524,0.10888793139975261,2,0.0,200,-3.0534061333691467,-3.271181996168652,-0.3553616590165719,-3.1622940647688993
403522,0.8240991945798466,2,0.0,201,-3.5206663218339567,-5.16886471099365,-0.47571585993791654,-4.344765516413803
405520,0.12324251291493749,2,0.0,202,-2.0894737608946636,-2.3359587867245386,-0.21082066199440092,-2.212716273809601
407518,0.1392613374147298,2,0.0,203,-2.292824884957292,-2.5713475597867514,-0.23805695244608557,-2.4320862223720217
409516,0.18125971559025333,2,0.0,204,-2.657344512498763,-3.01986394367927,-0.3399779360630461,-2.8386042280890162
411514,0.21472760954702275,2,0.0,205,-1.891531842513087,-2.3209870616071324,-0.21200720400137696,-2.10625945206011
413512,0.25293732429288296,2,0.0,206,-2.752936599263523,-3.2588112478492888,-0.3936987926622427,-3.005873923556406
415510,0.06522396749364767,2,0.0,207,-2.3577023237312615,-2.488150258718557,-0.29242190553677416,-2.4229262912249094
417508,0.033649455325011846,2,0.0,208,-1.6318142204422283,-1.699113131092252,-0.17111587484593221,-1.6654636757672403
419506,0.33668546623032203,2,0.0,209,-2.0948452509567095,-2.7682161834173535,-0.28918507420623163,-2.4315307171870315
421504,0.17680621509229766,2,0.0,210,-1.8580649228241077,-2.211677353008703,-0.1958104560640068,-2.0348711379164053
423502,0.03042888533721222,2,0.0,211,-1.7903212969971984,-1.8511790676716229,-0.19966225994667047,-1.8207501823344105
425500,0.13698789731541616,2,0.0,212,-1.8807794499487893,-2.1547552445796216,-0.21289776743122746,-2.0177673472642055
427498,0.24453034159268028,2,0.0,213,-1.8773818456156879,-2.3664425288010484,-0.2220431194292422,-2.121912187208368
429496,0.0664716380535646,2,0.0,214,-1.8562782280003733,-1.9892215041075025,-0.20350514586928214,-1.922749866053938
431494,0.3024618581871601,2,0.0,215,-1.761745031924126,-2.366668748298446,-0.22574370923320752,-2.064206890111286
433492,0.023587955157645002,2,0.0,216,-2.126988081117172,-2.174163991432462,-0.2400375872834578,-2.150576036274817
435490,0.08721627329679615,2,0.0,217,-1.9798002043760088,-2.154232750969601,-0.2017123038215704,-2.067016477672805
437488,0.02807713232167597,2,0.0,218,-2.131730608593427,-2.187884873236779,-0.20233294917706998,-2.159807740915103
439486,0.0798820374943674,2,0.0,219,-2.6754258183142574,-2.835189893302992,-0.2774012865651859,-2.755307855808625
441484,0.06956630775761408,2,0.0,220,-2.3250579417867687,-2.464190557301997,-0.2676819081527976,-2.394624249544383
443482,0.05285821539506408,2,0.0,221,-2.1665252432505375,-2.2722416740406657,-0.2122344551190242,-2.2193834586456016
445480,0.05438037436737586,2,0.0,222,-2.2044594060629312,-2.313220154797683,-0.23437408844704047,-2.258839780430307
447478,0.17855632555101608,2,0.0,223,-2.190781657225971,-2.547894308328003,-0.2664339727934317,-2.3693379827769867
449476,0.0699704727073378,2,0.0,224,-2.8469456732614096,-2.986886618676085,-0.3189415066374728,-2.9169161459687474
451474,0.03532680867802629,2,0.0,225,-2.164183229114178,-2.2348368464702304,-0.19601359934820084,-2.199510037792204
453472,0.02287648603486092,2,0.0,226,-2.2950878891438737,-2.3408408612135956,-0.24014798361898165,-2.3179643751787347
455470,0.21082276540986533,2,0.0,227,-2.1271901296555304,-2.548835660475261,-0.23465979689490904,-2.338012895065396
457468,0.14734847383225724,2,0.0,228,-2.009890538539982,-2.3045874862044964,-0.22104413692248912,-2.157239012372239
459466,0.008923169501662276,2,0.0,229,-2.462401770227633,-2.4802481092309576,-0.27678128935864904,-2.4713249397292953
461464,0.04880987241772994,2,0.0,230,-3.0143940617237783,-3.112013806559238,-0.31479529689810826,-3.0632039341415083
463462,0.04368625481453603,2,0.0,231,-2.514574152082864,-2.6019466617119362,-0.24224497211475138,-2.5582604068974
465460,0.21252399216957163,2,0.0,232,-2.7887590577593584,-3.2138070420985017,-0.32208804560809845,-3.0012830499289302
467458,0.2661819356025241,2,0.0,233,-2.579741750157963,-3.1121056213630114,-0.2783149502097099,-2.8459236857604875
469456,0.061180802910763,2,0.0,234,-2.722107664669814,-2.84446927049134,-0.27722975624616064,-2.783288467580577
471454,0.07136355710977083,2,0.0,235,-2.84446939703736,-2.9871965112569017,-0.29068910427367467,-2.915832954147131
473452,0.08463993644456025,2,0.0,236,-3.0543271412399933,-3.2236070141291138,-0.2976333482978246,-3.1389670776845535
475450,0.20482120079613764,2,0.0,237,-2.949603635988917,-3.359246037581192,-0.33484890355697944,-3.1544248367850543
477448,0.12663923408166422,2,0.0,238,-3.2865596853774077,-3.539838153540736,-0.36638834813581367,-3.413198919459072
479446,0.19590965168367647,2,0.0,239,-3.3860188364234576,-3.7778381397908105,-0.333865186016001,-3.581928488107134
481444,0.08882761963474328,2,0.0,240,-3.4145274304702693,-3.592182669739756,-0.3834537258090145,-3.5033550501050126
