Evaluation/Iteration,Evaluation/TerminationRate,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/KL,Evaluation/MinReturn,Evaluation/StdReturn,Evaluation/AverageDiscountedReturn,Evaluation/MaxReturn,GaussianMLPPolicy/LossBefore,GaussianMLPValueFunction/dLoss,TotalEnvSteps,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/KLBefore,GaussianMLPValueFunction/LossAfter,GaussianMLPValueFunction/LossBefore,Evaluation/NumEpisodes,Evaluation/AverageReturn
0,0.0,-12.242535591125488,0.01862049102783203,0.0008225609199143946,-99.69478954584194,3.6026517525299937,-10.35024008007397,-92.48948604078196,-12.223915100097656,0.46533966064453125,1998,1.419938564300537,0.0,40.61040496826172,41.07574462890625,2,-96.09213779331195
1,0.0,-12.824701309204102,0.007747650146484375,0.0005924306460656226,-105.51060346403652,6.399878054101421,-9.627436046086812,-92.71084735583368,-12.816953659057617,0.48846435546875,3996,1.419830322265625,0.0,43.2930908203125,43.78155517578125,2,-99.1107254099351
2,0.0,-12.87016487121582,0.012976646423339844,0.000665550003759563,-102.41282636516509,2.561870617949772,-9.764670132090577,-97.28908512926554,-12.85718822479248,0.48696136474609375,5994,1.4193226099014282,0.0,43.13117980957031,43.618141174316406,2,-99.85095574721532
3,0.0,-13.153465270996094,0.0025033950805664062,0.00037846050690859556,-102.03766194121523,0.4512103494139623,-9.263052986086732,-101.13524124238731,-13.150961875915527,0.4973297119140625,7992,1.4186134338378906,0.0,44.54679489135742,45.044124603271484,2,-101.58645159180128
4,0.0,-13.304145812988281,0.00025081634521484375,7.248254405567423e-07,-111.42734761082167,7.9246460625498685,-10.487661689206377,-95.57805548572193,-13.303894996643066,0.5070075988769531,9990,1.417825698852539,0.0,45.35816955566406,45.865177154541016,2,-103.5027015482718
5,0.0,-13.086861610412598,0.0006418228149414062,4.780135895998683e-06,-104.75067100685361,1.7731033114962074,-10.693640919508509,-101.2044643838612,-13.086219787597656,0.4941864013671875,11988,1.4169706106185913,0.0,43.648780822753906,44.142967224121094,2,-102.97756769535741
6,0.0,-12.45246696472168,0.0010881423950195312,5.758638053521281e-06,-101.25163527186443,0.8875561270643715,-11.51636860322208,-99.47652301773569,-12.45137882232666,0.4645843505859375,13986,1.4160969257354736,0.0,40.07888412475586,40.5434684753418,2,-100.36407914480006
7,0.0,-13.587784767150879,0.0020341873168945312,2.8393349566613324e-05,-109.60425576940273,3.1306965891198857,-11.331501442742649,-103.34286259116296,-13.585750579833984,0.4957771301269531,15984,1.4152146577835083,0.0,45.74391174316406,46.239688873291016,2,-106.47355918028285
8,0.0,-12.598983764648438,3.814697265625e-05,1.2790786058758385e-05,-104.81045915751098,3.989529188058299,-9.939341326954137,-96.83140078139438,-12.598945617675781,0.4580345153808594,17982,1.4143478870391846,0.0,41.06332778930664,41.5213623046875,2,-100.82092996945268
9,0.0,-12.250276565551758,0.0014438629150390625,3.774568176595494e-05,-101.34182914826376,2.2055345271992692,-9.52734915100128,-96.93076009386522,-12.248832702636719,0.4539527893066406,19980,1.4135417938232422,0.0,39.153621673583984,39.607574462890625,2,-99.13629462106448
10,0.0,-11.903704643249512,-0.000385284423828125,1.0960093277390115e-05,-101.60495162566731,3.7083183071122647,-9.4708051230642,-94.18831501144278,-11.90408992767334,0.44315338134765625,21978,1.4128767251968384,0.0,37.254310607910156,37.69746398925781,2,-97.89663331855505
11,0.0,-13.17646312713623,0.00040149688720703125,1.6457845504191937e-06,-109.10738756110902,4.2013217160836405,-9.707134845371488,-100.70474412894174,-13.176061630249023,0.4825706481933594,23976,1.412124752998352,0.0,43.50059509277344,43.9831657409668,2,-104.90606584502538
12,0.0,-13.570859909057617,0.0020532608032226562,1.6976440747384913e-05,-111.03182797154082,2.2017610460748926,-11.476623559381975,-106.62830587939104,-13.568806648254395,0.49591827392578125,25974,1.4112931489944458,0.0,44.69513702392578,45.19105529785156,2,-108.83006692546593
13,0.0,-10.561332702636719,-0.00041103363037109375,5.513593805517303e-06,-94.05447184522986,2.907056722425267,-9.480410545126828,-88.24035840037932,-10.56174373626709,0.39422035217285156,27972,1.4107087850570679,0.0,30.96013832092285,31.354358673095703,2,-91.14741512280459
14,0.0,-10.773781776428223,0.00034046173095703125,1.522603452031035e-05,-93.11620379357957,0.8198710130525413,-8.945160218059929,-91.47646176747449,-10.773441314697266,0.3975868225097656,29970,1.4103033542633057,0.0,32.051002502441406,32.44858932495117,2,-92.29633278052702
15,0.0,-12.899611473083496,0.006336212158203125,0.00011074139183619991,-104.666108584103,0.09437066896138191,-9.472001977895996,-104.47736724618024,-12.893275260925293,0.47037506103515625,31968,1.4097867012023926,0.0,41.72888946533203,42.19926452636719,2,-104.57173791514163
16,0.0,-11.725137710571289,-0.0009031295776367188,6.953569936740678e-06,-99.36732506845422,0.8715812117837913,-9.758404013497096,-97.62416264488664,-11.726040840148926,0.4218597412109375,33966,1.409263253211975,0.0,35.69911193847656,36.1209716796875,2,-98.49574385667043
17,0.0,-10.271536827087402,-0.00017833709716796875,4.427303338161437e-06,-90.83187684461137,0.5374294420801462,-8.695908917948632,-89.75701796045108,-10.27171516418457,0.37838172912597656,35964,1.4089305400848389,0.0,29.318910598754883,29.69729232788086,2,-90.29444740253123
18,0.0,-11.835798263549805,0.0017633438110351562,1.3461140952131245e-05,-103.71113820358556,3.4118067518114756,-10.460914978552072,-96.88752469996261,-11.83403491973877,0.4164085388183594,37962,1.4085372686386108,0.0,35.75227737426758,36.16868591308594,2,-100.2993314517741
19,0.0,-11.480740547180176,-5.245208740234375e-05,2.8731401471304707e-06,-102.13093426949945,3.4311026570653453,-10.400961365904475,-95.26872895536876,-11.480792999267578,0.41315460205078125,39960,1.4081205129623413,0.0,34.21904754638672,34.6322021484375,2,-98.69983161243411
20,0.0,-10.742368698120117,0.00019073486328125,1.4173451745591592e-06,-97.10115638087915,2.523784140447461,-9.71592475881317,-92.05358809998422,-10.742177963256836,0.3914012908935547,41958,1.4077627658843994,0.0,31.168134689331055,31.55953598022461,2,-94.57737224043169
21,0.0,-11.776453971862793,0.0009021759033203125,6.160818884382024e-06,-105.79847895974049,4.363559554413456,-10.67002011283981,-97.07135985091358,-11.775551795959473,0.4250450134277344,43956,1.4073359966278076,0.0,34.92544174194336,35.350486755371094,2,-101.43491940532704
22,0.0,-11.431614875793457,0.0007114410400390625,3.698092541526421e-06,-100.00019473013275,0.7001810260811681,-9.512372657714968,-98.59983267797041,-11.430903434753418,0.42209625244140625,45954,1.4068998098373413,0.0,33.79836654663086,34.220462799072266,2,-99.30001370405158
23,0.0,-12.756728172302246,0.0025510787963867188,3.080850365222432e-05,-108.54788638002321,1.2293901370625306,-10.483630350783024,-106.08910610589815,-12.75417709350586,0.46796417236328125,47952,1.4063130617141724,0.0,39.388099670410156,39.85606384277344,2,-107.31849624296069
24,0.0,-11.486322402954102,-0.00018405914306640625,7.289756467798725e-06,-100.31475086262267,0.019137243548080107,-9.922262100055914,-100.27647637552651,-11.486506462097168,0.4213142395019531,49950,1.4057044982910156,0.0,33.28128433227539,33.702598571777344,2,-100.2956136190746
25,0.0,-12.163536071777344,0.0020732879638671875,2.916611083492171e-05,-108.63039055682805,4.814064043872612,-9.364431913156498,-99.00226246908282,-12.161462783813477,0.4529266357421875,51948,1.4050086736679077,0.0,36.77376174926758,37.226688385009766,2,-103.81632651295544
26,0.0,-11.600146293640137,0.0049343109130859375,8.991684444481507e-05,-101.99197546456458,0.29643414623302533,-9.77609167739192,-101.39910717209852,-11.59521198272705,0.4396514892578125,53946,1.40427827835083,0.0,33.870445251464844,34.310096740722656,2,-101.69554131833155
27,0.0,-11.295797348022461,-0.0007762908935546875,3.386638854863122e-05,-99.81318371284218,0.22881257723268078,-8.907990363426931,-99.35555855837681,-11.296573638916016,0.42371368408203125,55944,1.4035398960113525,0.0,32.49249267578125,32.91620635986328,2,-99.5843711356095
28,0.0,-10.815787315368652,0.0028009414672851562,6.798287358833477e-05,-99.13751040006477,1.7946145744448856,-8.926558611820562,-95.548281251175,-10.812986373901367,0.4133110046386719,57942,1.4028236865997314,0.0,30.399145126342773,30.812456130981445,2,-97.34289582561988
29,0.0,-10.255509376525879,0.00024700164794921875,4.9276204663328826e-05,-96.03541063530686,1.3741479519839856,-9.34148788535533,-93.28711473133889,-10.25526237487793,0.3904685974121094,59940,1.4021514654159546,0.0,28.10230827331543,28.49277687072754,2,-94.66126268332287
30,0.0,-10.73016357421875,0.00034618377685546875,3.619529525167309e-05,-101.46410618688179,3.3845929222547113,-9.684375148205355,-94.69492034237237,-10.729817390441895,0.40934181213378906,61938,1.4014747142791748,0.0,29.641740798950195,30.051082611083984,2,-98.07951326462708
31,0.0,-10.443511009216309,-0.000385284423828125,9.22300387173891e-06,-100.055169007475,4.134375124532518,-8.788847309366474,-91.78641875840997,-10.443896293640137,0.40006065368652344,63936,1.4008060693740845,0.0,28.803667068481445,29.20372772216797,2,-95.92079388294249
32,0.0,-10.357710838317871,0.000102996826171875,5.926457902205584e-07,-102.42925566801588,4.888576402406713,-10.543254640068685,-92.65210286320246,-10.3576078414917,0.391693115234375,65934,1.4001444578170776,0.0,27.604408264160156,27.99610137939453,2,-97.54067926560917
33,0.0,-10.307465553283691,0.0011968612670898438,1.0952125194307882e-05,-99.07915456609886,2.4421816015099154,-9.240834844038936,-94.19479136307903,-10.306268692016602,0.3980541229248047,67932,1.3995051383972168,0.0,27.50242805480957,27.900482177734375,2,-96.63697296458895
34,0.0,-10.32944107055664,4.38690185546875e-05,4.299104148230981e-06,-103.02835793381271,5.93117440914601,-9.557233659625927,-91.1660091155207,-10.329397201538086,0.3941688537597656,69930,1.3988531827926636,0.0,27.696279525756836,28.0904483795166,2,-97.0971835246667
35,0.0,-9.933707237243652,0.0003757476806640625,1.5218354292301228e-06,-96.38957033531806,0.1514722340556176,-10.088709342951741,-96.08662586720682,-9.933331489562988,0.3900260925292969,71928,1.3982266187667847,0.0,25.77278709411621,26.162813186645508,2,-96.23809810126244
36,0.0,-10.602204322814941,0.0023851394653320312,2.6586561943986453e-05,-103.41471166587765,3.9224860134604427,-9.37241487395493,-95.56973963895676,-10.59981918334961,0.4181804656982422,73926,1.397545337677002,0.0,28.517770767211914,28.935951232910156,2,-99.4922256524172
37,0.0,-9.026949882507324,0.0019855499267578125,5.501467239810154e-05,-94.24935534011566,3.834520985114473,-8.738007465858395,-86.58031336988671,-9.024964332580566,0.3586769104003906,75924,1.39695405960083,0.0,22.4964656829834,22.85514259338379,2,-90.41483435500118
38,0.0,-9.39536190032959,-0.0006475448608398438,2.2047155653126538e-05,-94.24148825224212,1.1707995467507644,-8.434869297743946,-91.89988915874059,-9.39600944519043,0.3754291534423828,77922,1.3964333534240723,0.0,23.678787231445312,24.054216384887695,2,-93.07068870549136
39,0.0,-10.07925033569336,-0.0001468658447265625,5.965873697277857e-06,-100.94125478938227,3.726120933557773,-8.70054777981639,-93.48901292226672,-10.079397201538086,0.39490699768066406,79920,1.395889163017273,0.0,26.19852638244629,26.593433380126953,2,-97.21513385582449
40,0.0,-9.664275169372559,8.7738037109375e-05,6.762209636690386e-07,-99.70074734982225,3.6716324132729667,-9.776112877406693,-92.35748252327632,-9.66418743133545,0.3830604553222656,81918,1.395324468612671,0.0,24.619123458862305,25.00218391418457,2,-96.02911493654929
