GaussianMLPPolicy/LossAfter,Evaluation/AverageReturn,GaussianMLPPolicy/Entropy,TotalEnvSteps,Evaluation/NumEpisodes,Evaluation/Iteration,GaussianMLPPolicy/KL,Evaluation/MaxReturn,GaussianMLPPolicy/KLBefore,GaussianMLPValueFunction/dLoss,GaussianMLPPolicy/dLoss,Evaluation/AverageDiscountedReturn,GaussianMLPValueFunction/LossBefore,Evaluation/StdReturn,Evaluation/MinReturn,GaussianMLPValueFunction/LossAfter,GaussianMLPPolicy/LossBefore,Evaluation/TerminationRate
249.61187744140625,-1773.9670324216004,1.4099186658859253,1200,6,0,0.007754662074148655,-1686.9746708461369,0.0,15283.234375,2.657958984375,-752.5345461992815,155906.421875,50.70517194644902,-1826.7365328641895,140623.1875,252.26983642578125,0.0
174.08749389648438,-1215.4341035963737,1.4080435037612915,2400,6,1,0.007536327000707388,-1118.5926493560999,0.0,4499.64453125,1.4635772705078125,-489.6239234408221,69334.6640625,87.75251379541264,-1312.8075704165308,64835.01953125,175.5510711669922,0.0
242.74435424804688,-1719.7393702394602,1.3968312740325928,3600,6,2,0.008879175409674644,-1490.1224306810068,0.0,14004.625,0.8242340087890625,-721.1709062617657,126348.796875,105.04710057040376,-1794.984918824756,112344.171875,243.56858825683594,0.0
251.66339111328125,-1824.8761706184068,1.4456992149353027,4800,6,3,0.007715646643191576,-1776.6449790408233,0.0,12602.4375,2.5391082763671875,-776.8425616852506,123983.734375,27.594759833682925,-1857.0915011539612,111381.296875,254.20249938964844,0.0
239.9805145263672,-1732.7548801933365,1.464440107345581,6000,6,4,0.009212516248226166,-1693.734422252802,0.0,8917.59375,2.120758056640625,-723.1975249382123,102835.359375,35.54676970098561,-1788.7503517040032,93917.765625,242.1012725830078,0.0
242.86744689941406,-1758.7705948780313,1.4153149127960205,7200,6,5,0.006781186442822218,-1692.5398957589964,0.0,8190.875,2.8958587646484375,-730.1880934174709,97554.796875,30.40980899418336,-1784.8393828925425,89363.921875,245.7633056640625,0.0
214.7012939453125,-1504.9626043282167,1.42573881149292,8400,6,6,0.00649135559797287,-1464.1066494243173,0.0,5282.3515625,2.736236572265625,-571.071485196045,71676.3359375,37.0693276448889,-1551.1754986911567,66393.984375,217.43753051757812,0.0
251.00718688964844,-1859.139989580349,1.4029754400253296,9600,6,7,0.008712933398783207,-1833.5666363746755,0.0,7300.4921875,1.4255218505859375,-808.4798463576731,88124.3515625,18.818525556212926,-1881.3612185238396,80823.859375,252.43270874023438,0.0
239.20404052734375,-1730.440303671681,1.3807600736618042,10800,6,8,0.006604919675737619,-1671.6172556143442,0.0,5608.8046875,1.628662109375,-713.690261454713,74700.375,28.767538314154425,-1764.4834375820587,69091.5703125,240.83270263671875,0.0
242.61361694335938,-1812.5726679591055,1.3482153415679932,12000,6,9,0.008619152009487152,-1773.615653778759,0.0,5307.9375,2.2069854736328125,-787.3808770393944,71207.78125,23.210185283398154,-1841.0101078688322,65899.84375,244.8206024169922,0.0
227.24082946777344,-1615.425738654476,1.3515403270721436,13200,6,10,0.007682368159294128,-1572.482948311384,0.0,4125.9765625,2.766510009765625,-628.4473029926811,59498.44140625,37.94178488788069,-1670.7770857184162,55372.46484375,230.00733947753906,0.0
224.65013122558594,-1647.35071042881,1.3515037298202515,14400,6,11,0.007296950090676546,-1615.443135161675,0.0,3613.2421875,3.8713226318359375,-666.4630981917753,54970.20703125,23.555450497933016,-1680.554389733944,51356.96484375,228.52145385742188,0.0
216.99444580078125,-1607.9763799149814,1.380092978477478,15600,6,12,0.008988204412162304,-1588.5218552917388,0.0,2972.64453125,4.1546173095703125,-654.6016784924283,48129.16015625,14.916576092026705,-1626.0840267103747,45156.515625,221.14906311035156,0.0
222.91310119628906,-1672.870381033241,1.3893603086471558,16800,6,13,0.006540061440318823,-1592.098192869266,0.0,3015.078125,3.5355377197265625,-703.6646112414729,47301.14453125,43.93814319828706,-1718.6619499030742,44286.06640625,226.44863891601562,0.0
214.86416625976562,-1609.3358688321223,1.3450167179107666,18000,6,14,0.008515717461705208,-1570.8714454028677,0.0,2476.796875,3.3189849853515625,-668.0275992545897,41299.578125,28.42497862435557,-1656.3930208681386,38822.78125,218.1831512451172,0.0
198.6803741455078,-1434.4267078747573,1.3075190782546997,19200,6,15,0.008274558000266552,-1409.3617966963839,0.0,1963.337890625,3.1933441162109375,-555.5438992594981,33848.3046875,15.874009306764751,-1459.9893693890324,31884.966796875,201.87371826171875,0.0
227.8873748779297,-1731.945560347235,1.3213768005371094,20400,6,16,0.007203203160315752,-1645.3853532035537,0.0,2755.10546875,2.814239501953125,-746.0114052420204,41412.91015625,74.23310971944437,-1832.6718365617128,38657.8046875,230.7016143798828,0.0
213.8696746826172,-1589.775568955952,1.2841732501983643,21600,6,17,0.007816663943231106,-1561.248584155943,0.0,2089.98828125,3.23858642578125,-647.1655396383575,34532.48828125,20.52763154034056,-1624.0958920747184,32442.5,217.10826110839844,0.0
230.24932861328125,-1759.6896509009778,1.2835181951522827,22800,6,18,0.009015677496790886,-1666.2926422242715,0.0,2519.76171875,3.077392578125,-757.9487535571242,37402.421875,60.70595262099709,-1850.9335496888802,34882.66015625,233.32672119140625,0.0
222.28353881835938,-1671.2085566181386,1.2700600624084473,24000,6,19,0.009781408123672009,-1638.129436121581,0.0,2072.3203125,2.7696075439453125,-693.8124162796579,32733.443359375,38.39681695537019,-1743.695633353508,30661.123046875,225.0531463623047,0.0
229.3515625,-1763.530266619391,1.2560017108917236,25200,6,20,0.00986606813967228,-1709.77768518333,0.0,2088.892578125,1.650726318359375,-773.0262709743747,32131.33984375,41.026022553214624,-1808.8281371901135,30042.447265625,231.00228881835938,0.0
216.24227905273438,-1667.9150838446049,1.2420310974121094,26400,6,21,0.00951198861002922,-1637.026643887739,0.0,1622.3359375,2.9437103271484375,-719.6186513756606,27271.90625,22.67663094174775,-1710.379074169963,25649.5703125,219.1859893798828,0.0
223.85289001464844,-1720.7111533883326,1.223016619682312,27600,6,22,0.007082223892211914,-1632.0744058205319,0.0,1750.4453125,3.012969970703125,-736.6573134834424,27743.1640625,75.472243568126,-1827.7160579275037,25992.71875,226.86585998535156,0.0
234.10862731933594,-1801.3620021101326,1.213234782218933,28800,6,23,0.007083617150783539,-1758.5843680639778,0.0,1879.390625,2.0045013427734375,-781.1088804468003,28106.580078125,35.10701738762598,-1863.1125693772651,26227.189453125,236.11312866210938,0.0
232.99365234375,-1805.166391830858,1.222144365310669,30000,6,24,0.009577962569892406,-1749.4399007131403,0.0,1725.962890625,2.5513458251953125,-786.7852007270253,26175.345703125,36.23842988290295,-1868.6629698171798,24449.3828125,235.5449981689453,0.0
209.08807373046875,-1545.2830247628306,1.1972368955612183,31200,6,25,0.00988057255744934,-1503.1576992020778,0.0,1176.859375,4.1133575439453125,-596.0693686755925,20517.232421875,51.44201195222035,-1639.744631464622,19340.373046875,213.20143127441406,0.0
194.70066833496094,-1436.633196479171,1.2448935508728027,32400,6,26,0.00910213589668274,-1422.0152120621915,0.0,892.1533203125,4.115142822265625,-538.5185404389409,17112.283203125,19.02502369092236,-1476.8536526221367,16220.1298828125,198.81581115722656,0.0
203.73081970214844,-1540.0468649440602,1.245781660079956,33600,6,27,0.00906960479915142,-1503.173880814517,0.0,937.712890625,3.07275390625,-619.4652365471275,17278.255859375,18.30041102433568,-1557.283351792314,16340.54296875,206.80357360839844,0.0
215.3501434326172,-1698.723416029837,1.2709180116653442,34800,6,28,0.007874198257923126,-1649.241311215301,0.0,1070.1875,2.502349853515625,-747.251199940095,18054.345703125,47.351997635446345,-1791.3415045676422,16984.158203125,217.8524932861328,0.0
201.36053466796875,-1541.2955092833934,1.3006880283355713,36000,6,29,0.0066787139512598515,-1487.721371763618,0.0,820.6416015625,2.9076995849609375,-628.6002811099025,15112.681640625,31.138425883388777,-1587.8735581447356,14292.0400390625,204.2682342529297,0.0
182.67120361328125,-1356.785429930777,1.2732683420181274,37200,6,30,0.009506147354841232,-1298.0866621903872,0.0,599.154296875,3.8709564208984375,-498.52841313408254,12312.4931640625,31.90105110752272,-1400.983735171532,11713.3388671875,186.5421600341797,0.0
206.42323303222656,-1620.298335438002,1.2601019144058228,38400,6,31,0.009326819330453873,-1590.2324823637703,0.0,848.033203125,4.1778411865234375,-682.0587031861363,14511.1181640625,23.190855741756945,-1652.487806267116,13663.0849609375,210.60107421875,0.0
204.9719696044922,-1607.0275029233173,1.274842381477356,39600,6,32,0.007871831767261028,-1574.188894700187,0.0,766.9150390625,2.5471343994140625,-681.5912541162878,13302.21875,56.86388861419349,-1733.2176468239077,12535.3037109375,207.51910400390625,0.0
184.72848510742188,-1422.3216585095413,1.2980633974075317,40800,6,33,0.00800370704382658,-1385.6194289687035,0.0,525.8603515625,3.6852569580078125,-564.4884256769506,10506.958984375,19.518254414121735,-1442.8542540704423,9981.0986328125,188.4137420654297,0.0
205.76513671875,-1638.9635863218357,1.2777421474456787,42000,6,34,0.007196040358394384,-1570.4763162486875,0.0,716.6123046875,2.7274322509765625,-711.8374985120472,12105.8603515625,76.300148656412,-1798.9263260503794,11389.248046875,208.49256896972656,0.0
181.48744201660156,-1430.2603722335332,1.277069330215454,43200,6,35,0.009941729716956615,-1388.6899965599184,0.0,460.1826171875,4.1978912353515625,-582.6991969104772,9178.2333984375,24.50242126085418,-1460.1267801871784,8718.05078125,185.68533325195312,0.0
203.79339599609375,-1619.9073390999874,1.2635098695755005,44400,6,36,0.006542442366480827,-1558.0019348596513,0.0,639.490234375,2.2665557861328125,-694.6745475417802,10708.212890625,72.29230929200011,-1751.737645763592,10068.72265625,206.05995178222656,0.0
229.74293518066406,-1803.357487197159,1.2541333436965942,45600,6,37,0.008814249187707901,-1712.0539480987827,0.0,958.2412109375,3.9345855712890625,-759.0492292871469,12990.6357421875,61.633234210868,-1870.8360511799006,12032.39453125,233.67752075195312,0.0
242.2311248779297,-1904.4523406106055,1.2554322481155396,46800,6,38,0.007636269088834524,-1879.2256715213323,0.0,1017.1689453125,2.399261474609375,-822.8686024222543,13155.53125,15.23628859948137,-1925.2181054891382,12138.3623046875,244.63038635253906,0.0
123.1382064819336,-1065.5377222480436,1.2540855407714844,48000,6,39,0.00692825298756361,-979.0430990758609,0.0,87.375244140625,1.7773513793945312,-468.95260745554106,3238.6279296875,69.97863423839146,-1190.0422947336679,3151.252685546875,124.91555786132812,0.0
132.90185546875,-1058.285700791844,1.2778327465057373,49200,6,40,0.008860825560986996,-1043.4490056532034,0.0,113.76220703125,1.8005828857421875,-407.91668922802063,3741.5888671875,10.287279612087417,-1072.746184351667,3627.82666015625,134.7024383544922,0.0
134.1301727294922,-1119.0962913347007,1.2901452779769897,50400,6,41,0.007162381894886494,-1051.6246387600233,0.0,116.79541015625,1.88665771484375,-463.82729749417837,3662.23046875,39.28564625149292,-1173.9937566792871,3545.43505859375,136.01683044433594,0.0
146.40467834472656,-1170.330866643926,1.2757209539413452,51600,6,42,0.008218888193368912,-1141.1154362779318,0.0,158.103515625,1.2548980712890625,-465.1590518290088,4169.759765625,20.734070052321805,-1192.6388594602913,4011.65625,147.65957641601562,0.0
127.69033813476562,-1116.6279360271562,1.262732744216919,52800,6,43,0.006587740033864975,-1089.6704867385713,0.0,99.853271484375,1.8391876220703125,-492.71614191163894,3088.395751953125,21.5763900976729,-1151.3687810284255,2988.54248046875,129.52952575683594,0.0
139.14859008789062,-1250.1355493159615,1.27743399143219,54000,6,44,0.00914703868329525,-1203.8591407355798,0.0,139.8330078125,3.4700927734375,-590.1243621146924,3620.148681640625,30.854566641114417,-1298.134157356569,3480.315673828125,142.61868286132812,0.0
141.62039184570312,-1165.8247549633097,1.2585598230361938,55200,6,45,0.006316961254924536,-1114.6491385207553,0.0,152.622802734375,1.6126556396484375,-472.7898454198092,3617.063232421875,23.82118152700556,-1186.2342879986081,3464.4404296875,143.23304748535156,0.0
159.9680633544922,-1371.9559807179528,1.24786376953125,56400,6,46,0.009680095128715038,-1243.0715306850664,0.0,237.53955078125,3.7328948974609375,-615.0920484519025,4462.5400390625,74.97944176919665,-1485.759547358546,4225.00048828125,163.70095825195312,0.0
138.8058624267578,-1162.2794010442385,1.2492828369140625,57600,6,47,0.006620465777814388,-1039.5685236611419,0.0,143.328857421875,2.110015869140625,-477.4649035468217,3243.7216796875,56.28347697378107,-1201.4466472036474,3100.392822265625,140.91587829589844,0.0
120.59467315673828,-1072.0585103696135,1.2458356618881226,58800,6,48,0.007820132188498974,-1004.8809475035422,0.0,85.43017578125,2.8163070678710938,-461.99967796310466,2356.22998046875,48.34361678692093,-1152.258258609074,2270.7998046875,123.41098022460938,0.0
129.4146270751953,-1151.0163679209772,1.2485734224319458,60000,6,49,0.007199907209724188,-1116.513069772075,0.0,106.611572265625,2.1129302978515625,-514.6307657039175,2583.880615234375,35.36093209781485,-1222.2823691363426,2477.26904296875,131.52755737304688,0.0
123.90902709960938,-1131.0591154971914,1.22645902633667,61200,6,50,0.009843054227530956,-1091.0678429002485,0.0,96.265625,3.1845703125,-516.2904043487443,2348.41064453125,35.01889727279341,-1196.7052000741537,2252.14501953125,127.09359741210938,0.0
142.47581481933594,-1194.4163032223773,1.231301188468933,62400,6,51,0.007370189763605595,-1161.33858197646,0.0,150.2841796875,1.501373291015625,-495.8719817904735,2889.3544921875,23.344492783835015,-1239.9208983636713,2739.0703125,143.97718811035156,0.0
138.19627380371094,-1169.0687148435625,1.2293137311935425,63600,6,52,0.008750665001571178,-1111.7672805997893,0.0,137.891357421875,2.3568115234375,-471.43607674762893,2648.91162109375,27.581209471901435,-1195.993537990313,2511.020263671875,140.55308532714844,0.0
188.5674285888672,-1584.7907737912344,1.258493423461914,64800,6,53,0.009246558882296085,-1546.5747814755791,0.0,381.73095703125,2.7436065673828125,-705.6086889414805,4546.04296875,24.7846481694085,-1622.597278935523,4164.31201171875,191.31103515625,0.0
131.6427459716797,-1163.4007364328174,1.2491041421890259,66000,6,54,0.009956402704119682,-1122.1510857002102,0.0,100.378662109375,2.63702392578125,-493.4982529572481,2100.230712890625,29.276314644799967,-1213.3515264519851,1999.85205078125,134.27976989746094,0.0
